gene,lgu_Unaffected,lgcv_Unaffected,dropr_Unaffected,dist_Unaffected,lgu_CRC,lgcv_CRC,dropr_CRC,dist_CRC,mean_diff,dist_sign,dv_score,z_score,pval
CEP112,0.10128269,1.6403632,0.9391771019677997,0.0014287924309866798,0.4774664,0.941402,0.6897546897546898,0.021819719968711,0.37618372,1.0,0.02059918744403738,2.0977072003660155,0.03593101843330748
OXR1,0.44807813,0.9749955,0.7119856887298748,2.959864527225745e-05,0.6446735,0.78366596,0.5571428571428572,0.01746018080594149,0.1965954,1.0,0.020057505399931532,2.0453125967819967,0.040824049604610835
USP53,0.7871821,0.6716809,0.45796064400715564,0.00017957038286003522,0.36567464,1.040011,0.7542568542568543,0.0019805990351813288,-0.42150745,1.0,0.019899066653831544,2.0299874897665693,0.04235781093923485
MYH7B,0.0050961776,2.9985118,0.9964221824686941,3.0467488721945358e-06,0.12390119,1.5929183,0.9324675324675324,0.019717234821695084,0.11880501,1.0,0.019875936553503958,2.0277502133962164,0.04258574796494363
AL121790.2,0.04164633,2.03496,0.9767441860465116,2.151465102380838e-05,0.0003927971,4.189287,0.9997113997113997,0.01951814034666048,-0.041253533,1.0,0.019732831283907612,2.0139082484411817,0.04401916738385525
SPIDR,0.87371916,0.6162505,0.3935599284436494,0.00015288369612283267,0.8525968,0.6123153,0.38614718614718613,0.005103002336382117,-0.021122336,1.0,0.019692063070218854,2.009964912275079,0.04443490262043004
MYL6,0.31648692,1.114052,0.7889087656529516,0.0001075684572185906,0.23897408,1.2466235,0.8505050505050505,0.009031744812317773,-0.077512845,1.0,0.01962744687068667,2.0037148617215608,0.0451006133525782
STARD13,0.49620667,0.9284951,0.6815742397137746,5.2468962171143866e-05,0.79207695,0.6688682,0.4432900432900433,0.01659555019351617,0.29587027,1.0,0.01952735068769739,1.9940329830529522,0.046148450131029195
GK,0.2358964,1.2606702,0.8497316636851521,1.4821798980726922e-05,0.24114655,1.2625499,0.8545454545454545,0.01803498094563979,0.005250156,1.0,0.019512159112131038,1.9925635664675647,0.046309258054214375
RALGAPA2,0.73933834,0.7167118,0.49731663685152055,0.0001161379414069072,1.080578,0.45601478,0.21298701298701297,0.00954980668718161,0.34123963,1.0,0.019196612135419913,1.9620420475492004,0.049757589095656085
FMN1,0.6678445,0.7683218,0.5491949910554562,0.00014808124714981756,0.6661111,0.74996233,0.5313131313131313,0.004758288299190263,-0.0017333627,1.0,0.019154472822122702,1.9579660907410794,0.05023399176304233
AC016205.1,0.14648521,1.5776795,0.9320214669051878,0.030916665721369124,0.40305796,1.0597147,0.7620490620490621,0.04475113018480243,0.25657275,1.0,0.01905942272727077,1.9487722987470861,0.05132262329400561
TDP2,0.60934424,0.8128021,0.590339892665474,0.00017369889636005561,0.13770619,1.4744732,0.9122655122655122,0.0017459798255394972,-0.47163805,1.0,0.01901226435830572,1.9442108700003176,0.051870027508769345
SHISA6,0.009926358,2.7056372,0.9946332737030411,8.09614877710992e-06,0.19239898,1.3718866,0.8888888888888888,0.019138427137358634,0.18247262,1.0,0.0189571855095855,1.9388833268853827,0.05251554661684521
TBC1D4,0.3700058,1.0665717,0.7638640429338104,0.004759357752927085,0.39841515,1.0283179,0.7473304473304473,0.02094946712125854,0.028409362,1.0,0.018832919202566627,1.9268635747707425,0.053996633997910326
TMSB4X,0.55681753,0.8586593,0.629695885509839,0.00016118546017201133,0.78738034,0.65657794,0.42857142857142855,0.004615888388084061,0.2305628,1.0,0.018821360243731336,1.925745525773902,0.054136156327407425
AL359232.1,0.09301561,1.6760105,0.9445438282647585,1.74057484533197e-05,0.4422544,0.9758554,0.7132756132756133,0.01930916547301011,0.34923878,1.0,0.01875066752929426,1.9189077197408022,0.05499601348510197
AC097478.1,0.0047080275,3.0381126,0.9964221824686941,0.00041238733596014513,0.29864085,1.1610752,0.8168831168831169,0.018611821184081077,0.29393283,1.0,0.018687446312013193,1.9127925998958968,0.05577460889299535
RPL29,0.39138955,1.0481138,0.7549194991055456,0.0075256115123107925,0.9221645,0.5535356,0.3090909090909091,0.014109746657112326,0.53077495,1.0,0.01863195068348801,1.9074247434405058,0.05646560776807186
RPS6KA5,0.51389945,0.89707965,0.6601073345259392,0.0001541016328784834,0.21971005,1.2733071,0.8585858585858586,0.0035977764707126685,-0.2941894,1.0,0.01861487907706181,1.9057734794546013,0.05667960117087811
GPCPD1,0.32262835,1.1306939,0.7978533094812165,0.0058154055816045085,0.94567996,0.56773895,0.33015873015873015,0.02351774787443846,0.62305164,1.0,0.018602030565740786,1.9045306975225897,0.056841102636184804
LTBP1,0.23123479,1.2716756,0.853309481216458,5.066783572103681e-06,0.26972896,1.2097927,0.8331890331890331,0.01813674463207207,0.03849417,1.0,0.018587794024311315,1.9031536573332,0.05702049816403587
PTPRF,0.75271493,0.70039314,0.48300536672629696,0.00016753801299256466,0.294561,1.137241,0.8054834054834055,0.0017661539315466084,-0.45815393,1.0,0.01849243789347572,1.8939302637782522,0.0582342668375877
